time,ticks,tempo_hz,hdr_ms_tick,whole_ms,vnn_update_ms,snap_ms,snap_pct_log,snap_calls,ratio_calc
23:27:50,65868,4.999,74.9,74.87,20.35,79.47,106.1,1.1,106.14398290369974
23:28:50,66117,4.995,73.7,73.73,14.27,89.9,121.9,1.2,121.9313712193137
23:29:50,66365,4.991,70.4,70.35,23.07,79.74,113.3,1.2,113.34754797441364
23:30:51,66608,4.987,85.7,85.64,20.13,93.72,109.4,1.3,109.43484353106025
23:31:51,66859,4.983,110.0,109.96,17.67,90.42,82.2,1.2,82.22990178246636
23:32:51,67106,4.98,68.4,68.43,23.95,99.05,144.7,1.3,144.7464562326465
23:33:51,67352,4.976,80.3,80.33,25.71,89.4,111.3,1.1,111.2909249346446
23:34:51,67601,4.972,53.0,52.99,14.89,79.97,150.9,1.1,150.91526703151538
23:35:53,67770,4.962,458.3,458.26,27.11,236.09,51.5,3.1,51.51878846069917
23:36:53,68016,4.958,86.1,86.07,30.57,87.32,101.4,1.1,101.4523062623446
23:37:53,68277,4.955,80.1,80.05,23.37,83.31,104.1,1.0,104.07245471580262
23:38:53,68528,4.952,85.5,85.51,23.97,85.7,100.2,1.1,100.22219623435855
23:39:53,68773,4.948,78.8,78.78,16.67,94.78,120.3,1.2,120.30972328002031
23:40:53,69011,4.944,83.1,83.06,22.35,83.14,100.1,1.1,100.09631591620516
23:41:53,69255,4.94,60.3,60.32,16.62,72.01,119.4,1.0,119.37997347480108
23:42:54,69498,4.936,69.5,69.5,18.39,79.44,114.3,1.1,114.3021582733813
23:43:54,69764,4.934,66.7,66.69,16.41,71.81,107.6,1.0,107.67731294047084
23:44:54,70037,4.932,85.3,85.3,16.99,81.21,95.2,1.0,95.20515826494724
23:45:54,70194,4.923,630.6,630.05,23.81,318.18,50.5,3.9,50.50075390841997
23:46:54,70428,4.918,77.5,77.46,21.53,77.38,99.9,0.9,99.89672088820036
23:47:54,70693,4.916,110.6,110.55,34.29,103.53,93.6,1.2,93.64993215739484
23:48:54,70960,4.914,66.5,66.45,16.48,97.64,146.9,1.1,146.93754702784048
23:49:54,71233,4.913,84.4,84.35,33.24,81.67,96.8,1.0,96.82276229994073
23:50:55,71502,4.911,91.9,91.89,30.76,85.27,92.8,1.1,92.79573402981826
23:51:55,71774,4.909,71.7,71.74,28.19,70.62,98.4,0.9,98.4388068023418
23:52:55,72042,4.907,81.3,81.31,23.48,87.82,108.0,1.1,108.00639527733365
23:53:55,72308,4.905,86.5,86.5,27.73,90.46,104.6,1.1,104.57803468208093
23:54:55,72566,4.903,67.0,66.98,14.22,76.26,113.8,0.9,113.85488205434459
23:55:58,72738,4.894,527.2,527.2,21.32,279.68,53.0,3.5,53.05007587253414
23:56:58,73001,4.892,78.2,78.2,17.22,87.15,111.4,1.0,111.44501278772378
23:57:58,73271,4.89,68.9,68.85,17.21,80.87,117.4,1.0,117.45824255628177
23:58:58,73540,4.889,76.6,76.6,22.75,77.09,100.6,1.0,100.63968668407311
23:59:58,73804,4.887,81.8,81.83,28.95,85.21,104.1,1.0,104.1305144812416
00:00:58,74067,4.885,101.7,101.64,30.51,96.77,95.2,1.2,95.20857929948839
00:01:58,74323,4.882,73.0,72.98,16.23,83.76,114.7,1.1,114.77117018361194
00:02:58,74573,4.879,75.9,75.89,17.0,106.43,140.2,1.1,140.24245618658585
00:03:58,74827,4.877,74.1,74.08,16.68,88.74,119.8,1.1,119.78941684665227
00:04:59,75086,4.874,80.2,80.18,17.97,115.08,143.5,1.1,143.52706410576204
00:05:59,75250,4.866,354.8,354.75,40.79,215.89,60.9,2.5,60.8569415081043
00:06:59,75500,4.863,79.2,79.22,18.32,79.76,100.7,1.1,100.68164604897754
00:07:59,75756,4.861,103.1,103.07,28.27,97.11,94.2,1.2,94.217522072378
00:08:59,76018,4.859,55.7,55.69,12.62,87.52,157.1,1.1,157.15568324654336
00:09:59,76275,4.857,69.9,69.9,17.46,77.19,110.4,1.0,110.42918454935621
00:10:59,76527,4.854,75.4,75.41,19.15,89.8,119.1,1.0,119.08234982097865
00:12:00,76772,4.851,105.0,105.02,28.31,92.03,87.6,1.1,87.63092744239192
00:13:00,77024,4.849,85.7,85.65,32.88,81.96,95.7,1.0,95.69176882661996
00:14:00,77268,4.846,102.7,102.7,27.03,94.59,92.1,1.2,92.10321324245375
00:15:00,77515,4.843,77.7,77.66,20.77,89.96,115.8,1.0,115.83826937934587
00:16:01,77670,4.834,341.7,341.66,40.99,197.16,57.7,2.4,57.706491833987
00:17:01,77924,4.832,72.2,72.16,21.12,91.85,127.3,1.1,127.28658536585367
00:18:01,78169,4.829,85.0,84.97,18.88,104.84,123.4,1.1,123.38472402024244
00:19:01,78411,4.826,74.4,74.37,25.99,97.12,130.6,1.1,130.59029178432164
00:20:01,78648,4.823,114.3,114.31,18.5,113.12,98.9,1.3,98.95897121861604
00:21:01,78884,4.82,83.7,83.69,19.89,100.17,119.7,1.1,119.6917194407934
00:22:02,79128,4.817,92.2,92.18,23.63,85.17,92.4,1.1,92.39531351703188
00:23:02,79371,4.814,64.6,64.58,19.79,75.95,117.6,0.9,117.6060699907092
00:24:02,79613,4.811,73.8,73.74,27.95,93.5,126.8,1.0,126.7968538106862
00:25:02,79854,4.808,87.5,87.46,22.56,81.81,93.5,1.1,93.53990395609422
00:26:02,79997,4.8,282.9,282.92,32.32,217.39,76.8,2.2,76.83797539940619
00:27:02,80245,4.797,89.2,89.18,17.31,95.4,107.0,1.2,106.97465799506615
00:28:02,80495,4.795,61.6,61.6,14.95,81.07,131.6,1.0,131.60714285714283
00:29:03,80732,4.792,83.1,83.12,22.22,89.24,107.3,1.1,107.3628488931665
00:30:03,80979,4.789,69.1,69.07,22.29,82.89,120.0,1.1,120.00868683943827
00:31:03,81209,4.786,71.0,71.0,16.02,87.61,123.4,1.1,123.3943661971831
00:32:03,81447,4.783,79.2,79.22,24.39,78.81,99.5,1.0,99.48245392577633
00:33:03,81682,4.78,73.5,73.51,18.99,90.28,122.8,0.9,122.81322269079035
00:34:03,81933,4.778,68.0,67.96,16.42,87.28,128.4,1.0,128.42848734549736
00:35:03,82185,4.776,83.3,83.28,18.26,89.0,106.9,1.1,106.8683957732949
00:36:04,82338,4.768,202.0,201.98,30.71,136.73,67.7,1.7,67.69482126943261
00:37:04,82593,4.766,86.6,86.58,30.05,89.31,103.1,1.1,103.15315315315316
00:38:04,82848,4.764,84.3,84.3,20.57,96.69,114.7,1.1,114.69750889679716
00:39:04,83092,4.762,69.7,69.71,19.94,87.3,125.2,1.0,125.23310859274137
00:40:04,83336,4.759,92.5,92.47,24.91,91.48,98.9,1.2,98.92938250243323
00:41:04,83580,4.757,77.3,77.32,23.47,96.41,124.7,1.2,124.68960165545785
00:42:05,83816,4.754,82.8,82.77,15.72,84.07,101.6,1.1,101.57061737344449
00:43:05,84056,4.752,72.9,72.9,18.69,94.34,129.4,1.0,129.41015089163236
00:44:05,84295,4.749,84.0,83.98,32.0,93.29,111.1,1.1,111.08597285067873
00:45:05,84539,4.747,79.0,78.95,24.97,90.69,114.9,1.1,114.87017099430018
00:46:05,84674,4.738,278.5,278.44,21.06,196.55,70.6,2.1,70.58971412153426
00:47:05,84904,4.735,83.6,83.54,20.41,100.99,120.9,1.2,120.88819727076849
00:48:05,85137,4.732,71.3,71.26,20.0,98.13,137.7,1.1,137.7069884928431
00:49:05,85367,4.729,85.1,85.12,23.03,102.81,120.8,1.3,120.78242481203007
00:50:06,85596,4.726,138.6,138.62,26.09,142.26,102.6,1.4,102.62588371086423
00:51:06,85833,4.723,84.9,84.93,23.84,98.3,115.7,1.2,115.74237607441421
00:52:06,86067,4.721,88.3,88.32,34.63,111.8,126.6,1.1,126.58514492753625
00:53:07,86304,4.718,84.8,84.76,27.21,95.29,112.4,1.2,112.42331288343557
00:54:07,86541,4.716,95.0,94.96,41.1,87.14,91.8,1.1,91.76495366470094
00:55:07,86774,4.713,72.2,72.23,17.1,92.02,127.4,1.1,127.39858784438599
00:56:07,86910,4.705,152.7,152.72,25.74,142.15,93.1,1.5,93.07883708748035
